anime_id,title,title_english,source,episodes,score,scored_by,rank,popularity
294,Divergence Eve,,Original,13,6.02,2872,7302,3868
8704,Uchuu Hikoushi no Uta,,Unknown,1,5.67,240,8068,9853
37338,Chuukan Kanriroku Tonegawa,,Manga,0,0,0,,4101
2611,Panda Kopanda,Panda! Go Panda!,Original,2,6.87,3172,4046,4503
21255,Takarajima (Movie),,Novel,1,6.42,76,5941,10176
4645,Kirameki no Kyoudai: Sex Crime,,Unknown,1,5.5,274,,8022
5589,Offside Girl,,Manga,2,4.05,385,,7780
22733,Dragon Collection,,Unknown,51,6.35,905,6180,5495
27453,Pororo-wa Noraehaeyo,Sing-A-Long with Pororo,Unknown,14,5.65,26,11817,13004
1920,Urusei Yatsura Movie 1: Only You,,Manga,1,7.23,2375,2699,4890
29355,Grasshopper Monogatari,,Original,1,4.23,47,10274,12917
8768,Hiyokoi,,Manga,1,7.47,35015,1728,1281
29998,Asobi ni Iku yo!: Asobi ni Oide - Owari,,Light novel,1,6.38,2137,6069,4693
32736,Pepsi Nex x 009 Re:Cyborg,,Manga,3,5.53,96,8329,10371
5772,Akaneiro ni Somaru Saka: Hardcore,Akane Iro ni Somaru Saka Hardcore OVA,Visual novel,1,6.51,17521,5548,2078
22729,Aldnoah.Zero,Aldnoah.Zero,Original,12,7.57,184307,1419,181
31586,Mochibei,,Unknown,1,3.16,804,9512,7852
34572,Black Clover,Black Clover,Manga,51,6.61,66803,5147,319
21069,Amanee!: Tomodachinchi de Konna Koto ni Naru Nante!,,Manga,1,6.99,1920,,5053
1797,Animation Seisaku Shinkou Kuromi-chan,Animation Runner Kuromi,Unknown,1,6.99,3511,3586,4324
29369,Tick & Tack,Tick & Tack,Unknown,18,4.25,8,12434,13512
1230,Innocent Venus,,Original,12,6.91,8590,3877,2558
418,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,"Ranma ½: Big Trouble in Nekonron, China",Unknown,1,7.36,8418,2200,3081
582,Sexy Commando Gaiden: Sugoiyo!! Masaru-san,,Manga,48,7.86,2200,785,4061
21833,Higenashi Gogejabaru,,Original,1,5.15,105,8886,11304
34634,Sakana no Iu Koto wo Kiku,Do as the Fish Tells You,Original,1,5.51,51,8362,12695
9257,Denki Musou Hana,Electric Full Flower Garden,Manga,2,5.06,119,,9256
32293,Kerorinpasu,,Original,1,4.57,101,9332,11484
19115,Giovanni no Shima,Giovanni&#039;s Island,Original,1,7.8,5249,871,3013
2904,Code Geass: Hangyaku no Lelouch R2,Code Geass: Lelouch of the Rebellion R2,Original,25,8.95,543904,18,22
2691,Gensei Shugoshin P-hyoro Ikka,,Unknown,1,5.5,16,10213,11235
29910,Qin Shi Ming Yue 3D: Dianying Longteng Wanli,The Legend of Qin,Novel,1,6.38,52,6092,9555
893,Dragon Ball Movie 4: Saikyou e no Michi,Dragon Ball Movie 4: The Path to Power,Manga,1,7.29,17982,2454,1994
35788,Shokugeki no Souma: San no Sara,Food Wars! The Third Plate,Manga,12,8.5,129754,106,282
35284,Kodoku no Gourmet,,Manga,10,5.86,7,10937,9850
10116,Crayon Shin-chan Movie 19: Arashi wo Yobu Ougon no Spy Daisakusen,,Manga,1,7.04,501,3402,7891
18177,Yowamushi Pedal: Special Ride,,Manga,1,7.46,6608,1792,3305
11319,Zero no Tsukaima F,The Familiar of Zero F,Light novel,12,7.71,140516,1096,301
12901,TWD Express Rolling Takeoff,,Manga,1,5.3,20,12535,12153
2836,Chiisana Viking Vickie,,Unknown,78,6.6,896,5192,7065
34941,Queen&#039;s Blade: Unlimited,,Other,0,0,0,,6474
4927,Tomoe ga Yuku!,,Manga,2,5.33,133,8642,9377
37487,Muhyo to Rouji no Mahouritsu Soudan Jimusho,,Manga,0,0,0,,6153
30118,Futari wa Nakayoshi: Goo to Sue,,Unknown,84,5.11,9,10139,13471
30947,Kurayami Santa,,Original,13,5.23,715,8785,6845
5556,Moonlight Sonata,,Unknown,1,5.63,81,,9787
21521,Futa-bu!,,Manga,2,7.22,6172,,3397
8146,Gegege no Kitarou: Daikaijuu,Spooky Kitaro: Giant Sea Monster,Unknown,1,6.31,128,6344,9626
13119,Hakuouki Movie 2: Shikon Soukyuu,Hakuoki ~Demon of the Fleeting Blossom~ Warrior Spirit of the Blue Sky,Visual novel,1,7.96,3677,596,3298
3945,Kakyuusei 2: Sketchbook,,Visual novel,2,6.1,344,,7715
608,Sakura Taisen: Katsudou Shashin,Sakura Wars: The Movie,Visual novel,1,6.51,2204,5576,5107
35082,Hibike! Euphonium Movie: Todoketai Melody,Sound! Euphonium The Movie: May the melody reach you!,Novel,1,7.58,399,1404,3576
589,Ginga Nagareboshi Gin,,Manga,21,8.12,6551,409,3186
2937,Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi,,Manga,1,7.2,5480,2794,3428
6834,Taa-chan no Kaitei Ryokou,Ta-chan&#039;s Underwater Adventure,Original,1,4.34,346,9406,9167
107,Ou Dorobou Jing,Jing: King of Bandits,Manga,13,7.32,10886,2357,2244
17873,Pokemon Best Wishes! Season 2: Decolora Adventure,Pokémon: Black & White: Adventures in Unova and Beyond,Game,20,6.49,8848,5648,2864
11083,Nurarihyon no Mago: Sennen Makyou Recaps,Nura: Rise of the Yokai Clan - Demon Capital,Unknown,2,6.71,3888,4716,3929
2805,Onegai! Samia Don,,Unknown,78,7.08,217,3278,9203
36670,Hatoya,Hatoya,Other,1,4.19,26,10363,13754
35067,Osomatsu-san 2nd Season,Mr. Osomatsu 2,Manga,25,7.7,7344,1117,2179
25923,Oppai Gakuen Marching Band-bu!,,Visual novel,1,7.03,1374,,5416
